"flightNumber","period","month","day","airline","departureAirport","arrivalAirport","typeOfFlight","departureWeahter","arrivalWeather","arrivalStatus"
"LY396","summer","September","Thursday","ELY","MAD","TLV","Long Flight","24.89","30.72","on time"
"LY338","summer","September","Thursday","ELY","AMS","TLV","Long Flight","20.62","30.72","Delayed"
"LY2372","summer","September","Thursday","ELY","BER","TLV","Long Flight","16.43","30.72","on time"
"LY2366","summer","September","Thursday","ELY","BUD","TLV","Long Flight","30.22","30.72","on time"
"LY348","summer","September","Thursday","ELY","ZRH","TLV","Long Flight","30.72","21.53","Delayed"
"LY26","summer","September","Thursday","ELY","EWR","TLV","Long Flight","30.72","18.22","on time"
"UA90","summer","September","Thursday","UAL","EWR","TLV","Long Flight","30.72","18.22","on time"
"IZ162","summer","September","Thursday","AIZ","LCA","TLV","Long Flight","30.72","31.37","Delayed"
"LH686","summer","September","Thursday","DLH","FRA","TLV","Long Flight","20.81","30.72","on time"
"OS857","summer","September","Thursday","AUA","VIE","TLV","Long Flight","25.19","30.72","on time"
"W64217","summer","September","Thursday","WZZ","BOJ","TLV","Long Flight","30.72","26.06","on time"
"UA954","summer","September","Thursday","UAL","SFO","TLV","Long Flight","17.75","30.72","on time"
"U21827","summer","September","Thursday","EZY","MAN","TLV","Long Flight","30.72","19.29","on time"
"PC790","summer","September","Thursday","PGT","TLV","AYT","Long Flight","30.61","30.72","on time"
"BZ754","summer","September","Thursday","BBG","TLV","HER","Long Flight","30.72","26.58","on time"
"W67900","summer","September","Thursday","WZZ","TLV","DEB","Long Flight","30.72","28.87","on time"
"LO156","summer","September","Thursday","LOT","TLV","WAW","Long Flight","21.92","30.72","on time"
"U21526","summer","September","Thursday","EZY","TLV","GVA","Long Flight","30.72","14.48","on time"
"LY5","summer","September","Thursday","ELY","TLV","LAX","Long Flight","24.98","30.72","on time"
"FZ1210","summer","September","Thursday","FDB","TLV","DXB","Long Flight","37.00","30.72","on time"
"UA85","summer","September","Thursday","UAL","TLV","EWR","Long Flight","30.72","18.22","on time"
"UA955","summer","September","Thursday","UAL","TLV","SFO","Long Flight","17.75","30.72","on time"
"HY302","summer","September","Thursday","UZB","TLV","TAS","Long Flight","34.70","30.72","on time"
"LY973","summer","September","Thursday","ELY","TLV","DXB","Long Flight","37.00","30.72","on time"
"A3459","summer","September","Thursday","AEE","TLV","HER","Long Flight","30.72","26.58","severely Delayed"
"LY333","summer","September","Thursday","ELY","TLV","BRU","Long Flight","20.51","30.72","on time"
"W64606","summer","September","Thursday","WZZ","TLV","LCA","Long Flight","30.72","31.37","severely Delayed"
"U8107","summer","September","Thursday","CYF","TLV","LCA","Long Flight","30.72","31.37","on time"
"IZ212","summer","September","Thursday","AIZ","ATH","TLV","Long Flight","29.77","30.72","on time"
"LH680","summer","September","Thursday","DLH","MUC","TLV","Long Flight","17.96","30.72","Delayed"
"OS861","summer","September","Thursday","AUA","VIE","TLV","Long Flight","25.19","30.72","on time"
"W65097","summer","September","Thursday","WZZ","KRK","TLV","Long Flight","27.52","30.72","severely Delayed"
"LX252","summer","September","Thursday","SWR","ZRH","TLV","Long Flight","30.72","21.71","on time"
"TK786","summer","September","Thursday","THY","IST","TLV","Long Flight","27.09","30.72","on time"
"LY2372","summer","September","Thursday","ELY","BER","TLV","Long Flight","16.43","30.72","on time"
"LY396","summer","September","Thursday","ELY","MAD","TLV","Long Flight","24.89","30.72","on time"
"LY338","summer","September","Thursday","ELY","AMS","TLV","Long Flight","20.62","30.72","Delayed"
"LY348","summer","September","Thursday","ELY","ZRH","TLV","Long Flight","30.72","21.71","Delayed"
"LY2366","summer","September","Thursday","ELY","BUD","TLV","Long Flight","30.22","30.72","on time"
"LY26","summer","September","Thursday","ELY","EWR","TLV","Long Flight","30.72","18.22","on time"
"UA90","summer","September","Thursday","UAL","EWR","TLV","Long Flight","30.72","18.22","on time"
"IZ162","summer","September","Thursday","AIZ","LCA","TLV","Long Flight","30.72","31.37","Delayed"
"LH686","summer","September","Thursday","DLH","FRA","TLV","Long Flight","20.81","30.72","on time"
"OS857","summer","September","Thursday","AUA","VIE","TLV","Long Flight","25.19","30.72","on time"
"W64217","summer","September","Thursday","WZZ","BOJ","TLV","Long Flight","30.72","26.06","on time"
"UA954","summer","September","Thursday","UAL","SFO","TLV","Long Flight","17.75","30.72","on time"
"BZ754","summer","September","Thursday","BBG","TLV","HER","Long Flight","30.72","26.58","on time"
"U21526","summer","September","Thursday","EZY","TLV","GVA","Long Flight","30.72","14.48","on time"
"LH695","summer","September","Friday","DLH","TLV","FRA","Long Flight","18.03","30.72","on time"
"LH683","summer","September","Friday","DLH","TLV","MUC","Long Flight","15.45","30.72","on time"
"PC792","summer","September","Friday","PGT","TLV","AYT","Long Flight","33.94","30.72","on time"
"QS1287","summer","September","Friday","TVS","TLV","PRG","Long Flight","18.52","30.72","Delayed"
"W64428","summer","September","Friday","WZZ","TLV","SOF","Long Flight","22.83","30.72","on time"
"U81532","summer","September","Friday","CYF","TLV","PFO","Long Flight","30.72","29.88","on time"
"UA955","summer","September","Friday","UAL","TLV","SFO","Long Flight","17.59","30.72","on time"
"FR5526","summer","September","Friday","RYR","TLV","SKG","Long Flight","28.08","25.30","severely Delayed"
"W61283","summer","September","Friday","WZZ","KTW","TLV","Long Flight","28.08","17.76","on time"
"IB3316","summer","September","Friday","IBE","MAD","TLV","Long Flight","30.31","28.08","on time"
"IZ513","summer","September","Friday","AIZ","TLV","AMS","Long Flight","16.89","28.08","on time"
"IB3316","summer","September","Friday","IBE","MAD","TLV","Long Flight","30.31","28.08","on time"
"FR6768","summer","September","Friday","RYR","BUD","TLV","Long Flight","22.56","28.08","Delayed"
"LH690","summer","September","Friday","DLH","FRA","TLV","Long Flight","18.02","28.08","on time"
"FZ1807","summer","September","Friday","FDB","DXB","TLV","Long Flight","32.77","28.08","on time"
"FR6768","summer","September","Friday","RYR","BUD","TLV","Long Flight","22.56","28.08","Delayed"
"IZ513","summer","September","Friday","AIZ","TLV","AMS","Long Flight","16.89","27.93","on time"
"LH690","summer","September","Friday","DLH","FRA","TLV","Long Flight","18.02","27.93","on time"
"LX253","summer","September","Friday","SWR","TLV","ZRH","Long Flight","27.93","17.44","Delayed"
"TK788","summer","September","Friday","THY","IST","TLV","Long Flight","22.59","27.93","on time"
"FR6768","summer","September","Friday","RYR","BUD","TLV","Long Flight","22.56","27.93","Delayed"
"TK7782","summer","September","Friday","THY","AYT","TLV","Long Flight","28.38","27.93","Delayed"
"UA955","summer","September","Saturday","UAL","TLV","SFO","Long Flight","15.70","31.64","on time"
"FR8058","summer","September","Saturday","RYR","TLV","CFU","Long Flight","31.64","28.88","on time"
"TK7669","summer","September","Saturday","THY","TLV","AYT","Long Flight","33.33","31.64","on time"
"UA90","summer","September","Saturday","UAL","EWR","TLV","Long Flight","31.64","16.77","on time"
"LH686","summer","September","Saturday","DLH","FRA","TLV","Long Flight","16.92","31.64","on time"
"W63480","summer","September","Saturday","WZZ","TLV","CLJ","Long Flight","31.64","23.66","on time"
"FR1705","summer","September","Saturday","RYR","TLV","PFO","Long Flight","31.64","29.88","Delayed"
"W64605","summer","September","Saturday","WZZ","LCA","TLV","Long Flight","31.64","30.93","Delayed"
"OS857","summer","September","Saturday","AUA","VIE","TLV","Long Flight","20.99","31.64","on time"
"UA85","summer","September","Saturday","UAL","TLV","EWR","Long Flight","31.64","16.77","on time"
"FZ1210","summer","September","Saturday","FDB","TLV","DXB","Long Flight","34.70","31.64","on time"
"FR4084","summer","September","Saturday","RYR","TLV","KRK","Long Flight","16.61","31.64","Delayed"
"XQ206","summer","September","Saturday","SXS","AYT","TLV","Long Flight","33.33","31.64","on time"
"PC789","summer","September","Saturday","PGT","AYT","TLV","Long Flight","33.33","31.64","on time"
"TK785","summer","September","Saturday","THY","TLV","IST","Long Flight","26.01","31.64","on time"
"TK794","summer","September","Saturday","THY","IST","TLV","Long Flight","26.01","31.64","on time"
"LH680","summer","September","Saturday","DLH","MUC","TLV","Long Flight","15.11","31.64","Delayed"
"LH680","summer","September","Saturday","DLH","MUC","TLV","Long Flight","15.11","31.64","Delayed"
"FR8058","summer","September","Saturday","RYR","TLV","CFU","Long Flight","31.64","28.88","on time"
"FZ1550","summer","September","Saturday","FDB","TLV","DXB","Long Flight","34.70","31.64","on time"
"FR4084","summer","September","Saturday","RYR","TLV","KRK","Long Flight","16.61","31.64","Delayed"
"OS857","summer","September","Saturday","AUA","VIE","TLV","Long Flight","20.99","31.64","on time"
"UA90","summer","September","Saturday","UAL","EWR","TLV","Long Flight","31.64","16.77","on time"
"FZ1210","summer","September","Saturday","FDB","TLV","DXB","Long Flight","34.70","31.64","on time"
"FR6755","summer","September","Saturday","RYR","TLV","BUD","Long Flight","21.19","31.64","on time"
"FR1705","summer","September","Saturday","RYR","TLV","PFO","Long Flight","31.64","29.88","Delayed"
"LH686","summer","September","Saturday","DLH","FRA","TLV","Long Flight","16.92","31.64","on time"
"UA955","summer","September","Saturday","UAL","TLV","SFO","Long Flight","15.70","31.64","on time"
"UA954","summer","September","Saturday","UAL","SFO","TLV","Long Flight","15.70","31.64","on time"
"W62326","summer","September","Saturday","WZZ","TLV","BUD","Long Flight","21.19","31.64","on time"
"FR7162","summer","September","Saturday","RYR","TLV","VIE","Long Flight","20.99","31.64","on time"
"EK2364","summer","September","Saturday","UAE","TLV","DXB","Long Flight","34.70","31.64","on time"
"UA954","summer","September","Saturday","UAL","SFO","TLV","Long Flight","15.70","31.64","on time"
"FR6755","summer","September","Saturday","RYR","TLV","BUD","Long Flight","21.19","31.64","on time"
"FZ1550","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.64","on time"
"PC789","summer","September","Saturday","PGT","AYT","TLV","Long Flight","33.33","31.64","on time"
"UA955","summer","September","Saturday","UAL","TLV","SFO","Long Flight","15.70","31.64","on time"
"FR8058","summer","September","Saturday","RYR","TLV","CFU","Long Flight","31.64","28.88","on time"
"FZ1210","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.64","on time"
"FR4084","summer","September","Saturday","RYR","TLV","KRK","Long Flight","16.61","31.64","Delayed"
"LH680","summer","September","Saturday","DLH","MUC","TLV","Long Flight","15.11","31.64","Delayed"
"TK7669","summer","September","Saturday","THY","TLV","AYT","Long Flight","33.33","31.64","on time"
"OS857","summer","September","Saturday","AUA","VIE","TLV","Long Flight","20.84","31.64","on time"
"XQ206","summer","September","Saturday","SXS","AYT","TLV","Long Flight","33.33","31.64","on time"
"MS592","summer","September","Saturday","MSR","TLV","CAI","Long Flight","30.42","31.64","on time"
"FR1705","summer","September","Saturday","RYR","TLV","PFO","Long Flight","31.64","29.88","Delayed"
"UA90","summer","September","Saturday","UAL","EWR","TLV","Long Flight","31.64","16.77","on time"
"LX252","summer","September","Saturday","SWR","ZRH","TLV","Long Flight","31.64","17.05","on time"
"W63480","summer","September","Saturday","WZZ","TLV","CLJ","Long Flight","31.64","23.66","on time"
"W64605","summer","September","Saturday","WZZ","LCA","TLV","Long Flight","31.64","30.93","Delayed"
"PC798","summer","September","Saturday","PGT","TLV","DLM","Long Flight","31.64","30.92","on time"
"TK794","summer","September","Saturday","THY","IST","TLV","Long Flight","26.01","31.64","on time"
"LH686","summer","September","Saturday","DLH","FRA","TLV","Long Flight","16.92","31.64","on time"
"TK785","summer","September","Saturday","THY","TLV","IST","Long Flight","26.01","31.64","on time"
"UA85","summer","September","Saturday","UAL","TLV","EWR","Long Flight","31.64","16.77","on time"
"W62812","summer","September","Saturday","WZZ","TLV","VIE","Long Flight","20.84","31.64","on time"
"TK7669","summer","September","Saturday","THY","TLV","AYT","Long Flight","33.33","31.64","on time"
"UA85","summer","September","Saturday","UAL","TLV","EWR","Long Flight","31.64","16.77","on time"
"FR8058","summer","September","Saturday","RYR","TLV","CFU","Long Flight","31.64","28.88","on time"
"TK794","summer","September","Saturday","THY","IST","TLV","Long Flight","26.01","31.64","on time"
"LX252","summer","September","Saturday","SWR","ZRH","TLV","Long Flight","31.64","17.05","on time"
"LH680","summer","September","Saturday","DLH","MUC","TLV","Long Flight","15.11","31.64","Delayed"
"FR1705","summer","September","Saturday","RYR","TLV","PFO","Long Flight","31.64","29.88","Delayed"
"W63480","summer","September","Saturday","WZZ","TLV","CLJ","Long Flight","31.64","23.66","on time"
"FR7162","summer","September","Saturday","RYR","TLV","VIE","Long Flight","20.84","31.64","on time"
"OS857","summer","September","Saturday","AUA","VIE","TLV","Long Flight","20.84","31.64","on time"
"FZ1210","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.64","on time"
"XQ206","summer","September","Saturday","SXS","AYT","TLV","Long Flight","33.33","31.64","on time"
"W62326","summer","September","Saturday","WZZ","TLV","BUD","Long Flight","21.19","31.64","on time"
"UA954","summer","September","Saturday","UAL","SFO","TLV","Long Flight","15.70","31.64","on time"
"EK2364","summer","September","Saturday","UAE","TLV","DXB","Long Flight","37.00","31.64","on time"
"FR4084","summer","September","Saturday","RYR","TLV","KRK","Long Flight","16.61","31.64","Delayed"
"W64605","summer","September","Saturday","WZZ","LCA","TLV","Long Flight","31.64","30.93","Delayed"
"FR6755","summer","September","Saturday","RYR","TLV","BUD","Long Flight","21.19","31.64","Delayed"
"UA955","summer","September","Saturday","UAL","TLV","SFO","Long Flight","15.70","31.64","on time"
"LH686","summer","September","Saturday","DLH","FRA","TLV","Long Flight","16.92","31.64","on time"
"W62812","summer","September","Saturday","WZZ","TLV","VIE","Long Flight","20.84","31.64","on time"
"PC789","summer","September","Saturday","PGT","AYT","TLV","Long Flight","33.33","31.64","Delayed"
"FZ1550","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.64","on time"
"PC798","summer","September","Saturday","PGT","TLV","DLM","Long Flight","31.64","30.92","on time"
"TK785","summer","September","Saturday","THY","TLV","IST","Long Flight","26.01","31.64","on time"
"MS592","summer","September","Saturday","MSR","TLV","CAI","Long Flight","30.42","31.64","Delayed"
"W63480","summer","September","Saturday","WZZ","TLV","CLJ","Long Flight","31.64","23.66","on time"
"UA85","summer","September","Saturday","UAL","TLV","EWR","Long Flight","31.64","16.77","on time"
"LH686","summer","September","Saturday","DLH","FRA","TLV","Long Flight","16.92","31.64","on time"
"PC798","summer","September","Saturday","PGT","TLV","DLM","Long Flight","31.64","30.92","on time"
"FZ1210","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.64","on time"
"FR8058","summer","September","Saturday","RYR","TLV","CFU","Long Flight","31.64","28.88","on time"
"FZ1550","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.64","on time"
"FR6755","summer","September","Saturday","RYR","TLV","BUD","Long Flight","21.19","31.64","Delayed"
"LX252","summer","September","Saturday","SWR","ZRH","TLV","Long Flight","31.64","17.05","on time"
"PC789","summer","September","Saturday","PGT","AYT","TLV","Long Flight","33.33","31.64","Delayed"
"TK7669","summer","September","Saturday","THY","TLV","AYT","Long Flight","33.33","31.64","on time"
"MS592","summer","September","Saturday","MSR","TLV","CAI","Long Flight","31.42","31.64","Delayed"
"FR4084","summer","September","Saturday","RYR","TLV","KRK","Long Flight","16.61","31.64","Delayed"
"UA954","summer","September","Saturday","UAL","SFO","TLV","Long Flight","15.70","31.64","on time"
"UA955","summer","September","Saturday","UAL","TLV","SFO","Long Flight","15.70","31.64","on time"
"OS857","summer","September","Saturday","AUA","VIE","TLV","Long Flight","20.84","31.64","on time"
"FR7162","summer","September","Saturday","RYR","TLV","VIE","Long Flight","20.84","31.64","on time"
"W62326","summer","September","Saturday","WZZ","TLV","BUD","Long Flight","21.19","31.64","on time"
"EK2364","summer","September","Saturday","UAE","TLV","DXB","Long Flight","37.00","31.64","on time"
"TK785","summer","September","Saturday","THY","TLV","IST","Long Flight","26.01","31.64","on time"
"TK794","summer","September","Saturday","THY","IST","TLV","Long Flight","26.01","31.64","on time"
"W64605","summer","September","Saturday","WZZ","LCA","TLV","Long Flight","31.64","30.93","Delayed"
"W62812","summer","September","Saturday","WZZ","TLV","VIE","Long Flight","20.84","31.64","on time"
"XQ206","summer","September","Saturday","SXS","AYT","TLV","Long Flight","33.33","31.64","on time"
"LH680","summer","September","Saturday","DLH","MUC","TLV","Long Flight","15.11","31.64","Delayed"
"W62812","summer","September","Saturday","WZZ","TLV","VIE","Long Flight","20.84","31.64","on time"
"XQ206","summer","September","Saturday","SXS","AYT","TLV","Long Flight","33.33","31.64","on time"
"TK785","summer","September","Saturday","THY","TLV","IST","Long Flight","26.01","31.64","on time"
"W62326","summer","September","Saturday","WZZ","TLV","BUD","Long Flight","21.19","31.64","on time"
"FR7162","summer","September","Saturday","RYR","TLV","VIE","Long Flight","20.84","31.64","on time"
"FR4084","summer","September","Saturday","RYR","TLV","KRK","Long Flight","16.61","31.64","Delayed"
"LX252","summer","September","Saturday","SWR","ZRH","TLV","Long Flight","31.64","17.05","on time"
"PC789","summer","September","Saturday","PGT","AYT","TLV","Long Flight","33.33","31.64","Delayed"
"PC798","summer","September","Saturday","PGT","TLV","DLM","Long Flight","31.64","30.92","on time"
"FZ1550","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.64","on time"
"OS857","summer","September","Saturday","AUA","VIE","TLV","Long Flight","20.84","31.64","on time"
"UA955","summer","September","Saturday","UAL","TLV","SFO","Long Flight","15.70","31.64","on time"
"LH686","summer","September","Saturday","DLH","FRA","TLV","Long Flight","16.92","31.64","on time"
"MS592","summer","September","Saturday","MSR","TLV","CAI","Long Flight","31.42","31.64","Delayed"
"LH680","summer","September","Saturday","DLH","MUC","TLV","Long Flight","15.11","31.64","Delayed"
"UA85","summer","September","Saturday","UAL","TLV","EWR","Long Flight","31.64","16.77","on time"
"W64605","summer","September","Saturday","WZZ","LCA","TLV","Long Flight","31.64","30.93","Delayed"
"EK2364","summer","September","Saturday","UAE","TLV","DXB","Long Flight","37.00","31.64","on time"
"W63480","summer","September","Saturday","WZZ","TLV","CLJ","Long Flight","31.64","23.66","on time"
"TK794","summer","September","Saturday","THY","IST","TLV","Long Flight","26.01","31.64","on time"
"TK7669","summer","September","Saturday","THY","TLV","AYT","Long Flight","33.33","31.64","on time"
"FR6755","summer","September","Saturday","RYR","TLV","BUD","Long Flight","21.74","31.18","Delayed"
"FZ1210","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.18","on time"
"FR8058","summer","September","Saturday","RYR","TLV","CFU","Long Flight","31.18","28.88","on time"
"UA954","summer","September","Saturday","UAL","SFO","TLV","Long Flight","15.70","31.18","on time"
"FR8058","summer","September","Saturday","RYR","TLV","CFU","Long Flight","31.18","28.88","on time"
"FZ1550","summer","September","Saturday","FDB","TLV","DXB","Long Flight","37.00","31.18","on time"
"LH680","summer","September","Saturday","DLH","MUC","TLV","Long Flight","15.03","31.18","Delayed"
"TK785","summer","September","Saturday","THY","TLV","IST","Long Flight","26.01","31.18","on time"
"UA85","summer","September","Saturday","UAL","TLV","EWR","Long Flight","31.18","16.75","on time"
"EK2364","summer","September","Saturday","UAE","TLV","DXB","Long Flight","37.00","31.18","on time"
"TK794","summer","September","Saturday","THY","IST","TLV","Long Flight","26.01","31.18","on time"
"W64605","summer","September","Saturday","WZZ","LCA","TLV","Long Flight","31.18","30.93","Delayed"
"W62326","summer","September","Saturday","WZZ","TLV","BUD","Long Flight","21.74","31.18","on time"
"LX252","summer","September","Saturday","SWR","ZRH","TLV","Long Flight","31.18","17.05","on time"
